;Abtastrate 10[Hz];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zeit in µs;E2: Weg in mm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Version:2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anfangszeit:;12:6:17:801;12:6:25:131;12:6:32:51;12:6:38:991;12:6:46:271;12:6:53:551;12:7:0:231;12:7:7:411;12:7:14:71;12:7:21:151;12:7:27:851;12:7:35:131;12:7:41:791;12:7:49:551;12:7:55:411;12:8:2:191;12:8:8:831;12:8:15:611;12:8:22:231;12:8:29:11;12:8:35:651;12:8:42:391;12:8:49:71;12:8:55:911;12:9:2:631;12:9:9:391;12:9:16:31;12:9:22:991;12:9:29:691;12:9:36:511;12:9:43:151;12:9:49:911;12:9:56:591;12:10:3:331;12:10:9:991;12:10:16:811;12:10:23:471;12:10:30:271;12:10:36:931;12:10:43:771;12:10:50:411;12:10:57:651;12:11:4:351;12:11:11:151;12:11:17:831;12:11:24:581;12:11:31:271;12:11:37:971;12:23:10:391
Schleife:;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;1
0;2,3892064;1,9782014;1,9782014;1,9912614;1,9566909;1,9490086;1,9858837;1,9720556;1,9766649;1,9659097;1,9766649;1,973592;1,9782014;1,9382533;1,9659097;1,9720556;1,9666779;1,9689826;1,9651414;1,9267298;1,8952322;1,9620686;1,9605321;1,930571;1,9321074;1,9351803;1,9574591;1,9613003;1,9613003;1,9551544;1,9566909;1,9566909;1,9881884;1,9559226;1,9190475;1,950545;1,9459356;1,9528497;1,9497768;1,9528497;1,9536179;1,9513133;1,9474721;1,9451674;1,9782014;2,342344;1,9436309;1,937485;4,5172133
100000;2,3899746;1,9636049;1,9559226;1,9651414;1,9328756;1,9267298;1,9589956;1,9543861;1,9513133;1,9490086;1,9574591;1,9490086;1,9551544;1,914438;1,9436309;1,9513133;1,9482403;1,9436309;1,9420944;1,9067557;1,8775628;1,9382533;1,9367168;1,9067557;1,901378;1,9067557;1,9367168;1,9397898;1,9367168;1,9336438;1,9336438;1,9367168;1,9659097;1,9359486;1,8929275;1,930571;1,9282662;1,9282662;1,9298027;1,9359486;1,9259615;1,9359486;1,9336438;1,9282662;1,9559226;2,342344;1,9190475;1,9198157;4,4941664
200000;2,5367072;2,121861;2,1195564;2,1095693;2,0719259;2,0642436;2,0918999;2,0888271;2,0834494;2,0888271;2,07884;2,0765352;2,0749989;2,03966;2,0665483;2,068853;2,0642436;2,0565612;2,055793;2,0212226;1,9920297;2,0473425;2,046574;2,0135403;2,0058577;2,0035532;2,0373554;2,0319777;2,0273683;2,029673;2,0304413;2,025832;2,0565612;2,0189178;1,9889567;2,019686;2,0204542;2,0127718;2,0135403;2,0143085;2,0135403;2,0020165;2,0120037;2,0004802;2,0350506;2,3968887;2,0004802;1,9951025;4,5594664
300000;2,5997024;2,184088;2,1764057;2,1687233;2,1257021;2,1210928;2,1472127;2,1426034;2,1356893;2,131848;2,1257021;2,1195564;2,114947;2,07884;2,1057281;2,1126423;2,0980458;2,0980458;2,0949728;2,0619388;2,0281365;2,0834494;2,0888271;2,048879;2,0473425;2,0411966;2,0765352;2,072694;2,0719259;2,0734625;2,0703895;2,0650117;2,1003506;2,0673165;2,029673;2,0650117;2,0565612;2,0573294;2,0619388;2,0596342;2,0542564;2,0450377;2,0642436;2,046574;2,084986;2,4813943;2,0511837;2,0511837;4,61862
400000;2,5635953;2,1356893;2,1295433;2,1241658;2,0865223;2,07884;2,1064963;2,1003506;2,0918999;2,0888271;2,0865223;2,0834494;2,0765352;2,0365872;2,0627072;2,0642436;2,0542564;2,049647;2,0450377;2,0150766;1,9789697;2,0373554;2,0365872;1,999712;2,002785;1,9958708;2,0235271;2,0189178;2,0181496;2,0143085;2,0127718;2,0081625;2,042733;2,0120037;1,9720556;2,0020165;1,999712;1,996639;1,9943343;1,9958708;1,9920297;1,9858837;1,9981755;1,9805061;2,0143085;2,4360685;1,9797379;1,9782014;4,5379558
